GID_0,ISO_3,Area,Region,Sub_Region
ABW,ABW,Aruba,Americas,Caribbean
AFG,AFG,Afghanistan,Asia and the Pacific,South Asia
AGO,AGO,Angola,Africa,Southern Africa
AIA,AIA,Anguilla,Americas,Caribbean
ALA,ALA,Åland Islands,Europe and Central Asia,Central and Western Europe
ALB,ALB,Albania,Europe and Central Asia,Central and Western Europe
AND,AND,Andorra,Europe and Central Asia,Central and Western Europe
ARE,ARE,United Arab Emirates (the),Asia and the Pacific,Western Asia
ARG,ARG,Argentina,Americas,South America
ARM,ARM,Armenia,Europe and Central Asia,Eastern Europe
ASM,ASM,American Samoa,Asia and the Pacific,Oceania
ATA,ATA,Antarctica,Antarctica,Antarctica
ATF,ATF,French Southern Territories (the),Asia and the Pacific,Oceania
ATG,ATG,Antigua and Barbuda,Americas,Caribbean
AUS,AUS,Australia,Asia and the Pacific,Oceania
AUT,AUT,Austria,Europe and Central Asia,Central and Western Europe
AZE,AZE,Azerbaijan,Europe and Central Asia,Eastern Europe
BDI,BDI,Burundi,Africa,Central Africa
BEL,BEL,Belgium,Europe and Central Asia,Central and Western Europe
BEN,BEN,Benin,Africa,West Africa
BES,BES,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean
BFA,BFA,Burkina Faso,Africa,West Africa
BGD,BGD,Bangladesh,Asia and the Pacific,South Asia
BGR,BGR,Bulgaria,Europe and Central Asia,Central and Western Europe
BHR,BHR,Bahrain,Asia and the Pacific,Western Asia
BHS,BHS,Bahamas (the),Americas,Caribbean
BIH,BIH,Bosnia and Herzegovina,Europe and Central Asia,Central and Western Europe
BLM,BLM,Saint Barthélemy,Americas,Caribbean
BLR,BLR,Belarus,Europe and Central Asia,Eastern Europe
BLZ,BLZ,Belize,Americas,Mesoamerica
BMU,BMU,Bermuda,Americas,Caribbean
BOL,BOL,Bolivia (Plurinational State of),Americas,South America
BRA,BRA,Brazil,Americas,South America
BRB,BRB,Barbados,Americas,Caribbean
BRN,BRN,Brunei Darussalam,Asia and the Pacific,South-East Asia
BTN,BTN,Bhutan,Asia and the Pacific,South Asia
BVT,BVT,Bouvet Island,Americas,South America
BWA,BWA,Botswana,Africa,Southern Africa
CAF,CAF,Central African Republic (the),Africa,Central Africa
CAN,CAN,Canada,Americas,North America
CCK,CCK,Cocos (Keeling) Islands (the),Asia and the Pacific,South-East Asia
CHE,CHE,Switzerland,Europe and Central Asia,Central and Western Europe
CHL,CHL,Chile,Americas,South America
CHN,CHN,China,Asia and the Pacific,North-East Asia
CIV,CIV,Côte d'Ivoire,Africa,West Africa
CMR,CMR,Cameroon,Africa,Central Africa
COD,COD,Congo (the Democratic Republic of the),Africa,Central Africa
COG,COG,Congo (the),Africa,Central Africa
COK,COK,Cook Islands (the),Asia and the Pacific,Oceania
COL,COL,Colombia,Americas,South America
COM,COM,Comoros (the),Africa,East Africa and adjacent islands
CPV,CPV,Cabo Verde,Africa,West Africa
CRI,CRI,Costa Rica,Americas,Mesoamerica
CUB,CUB,Cuba,Americas,Caribbean
CUW,CUW,Curaçao,Americas,Caribbean
CXR,CXR,Christmas Island,Asia and the Pacific,South-East Asia
CYM,CYM,Cayman Islands (the),Americas,Caribbean
CYP,CYP,Cyprus,Europe and Central Asia,Central and Western Europe
CZE,CZE,Czechia,Europe and Central Asia,Central and Western Europe
DEU,DEU,Germany,Europe and Central Asia,Central and Western Europe
DJI,DJI,Djibouti,Africa,East Africa and adjacent islands
DMA,DMA,Dominica,Americas,Caribbean
DNK,DNK,Denmark,Europe and Central Asia,Central and Western Europe
DOM,DOM,Dominican Republic (the),Americas,Caribbean
DZA,DZA,Algeria,Africa,North Africa
ECU,ECU,Ecuador,Americas,South America
EGY,EGY,Egypt,Africa,North Africa
ERI,ERI,Eritrea,Africa,East Africa and adjacent islands
ESH,ESH,Western Sahara*,Africa,North Africa
ESP,ESP,Spain,Europe and Central Asia,Central and Western Europe
EST,EST,Estonia,Europe and Central Asia,Central and Western Europe
ETH,ETH,Ethiopia,Africa,East Africa and adjacent islands
FIN,FIN,Finland,Europe and Central Asia,Central and Western Europe
FJI,FJI,Fiji,Asia and the Pacific,Oceania
FLK,FLK,Falkland Islands (the) [Malvinas],Americas,South America
FRA,FRA,France,Europe and Central Asia,Central and Western Europe
FRO,FRO,Faroe Islands (the),Europe and Central Asia,Central and Western Europe
FSM,FSM,Micronesia (Federated States of),Asia and the Pacific,Oceania
GAB,GAB,Gabon,Africa,Central Africa
GBR,GBR,United Kingdom of Great Britain and Northern Ireland (the),Europe and Central Asia,Central and Western Europe
GEO,GEO,Georgia,Europe and Central Asia,Eastern Europe
GGY,GGY,Guernsey,Europe and Central Asia,Central and Western Europe
GHA,GHA,Ghana,Africa,West Africa
GIB,GIB,Gibraltar,Europe and Central Asia,Central and Western Europe
GIN,GIN,Guinea,Africa,West Africa
GLP,GLP,Guadeloupe,Americas,Caribbean
GMB,GMB,Gambia (the),Africa,West Africa
GNB,GNB,Guinea-Bissau,Africa,West Africa
GNQ,GNQ,Equatorial Guinea,Africa,Central Africa
GRC,GRC,Greece,Europe and Central Asia,Central and Western Europe
GRD,GRD,Grenada,Americas,Caribbean
GRL,GRL,Greenland,Americas,North America
GTM,GTM,Guatemala,Americas,Mesoamerica
GUF,GUF,French Guiana,Americas,South America
GUM,GUM,Guam,Asia and the Pacific,Oceania
GUY,GUY,Guyana,Americas,South America
HKG,HKG,Hong Kong (Special Administrative Region China),Asia and the Pacific,North-East Asia
HMD,HMD,Heard Island and McDonald Islands,Asia and the Pacific,Oceania
HND,HND,Honduras,Americas,Mesoamerica
HRV,HRV,Croatia,Europe and Central Asia,Central and Western Europe
HTI,HTI,Haiti,Americas,Caribbean
HUN,HUN,Hungary,Europe and Central Asia,Central and Western Europe
IDN,IDN,Indonesia,Asia and the Pacific,South-East Asia
IMN,IMN,Isle of Man,Europe and Central Asia,Central and Western Europe
IND,IND,India,Asia and the Pacific,South Asia
IOT,IOT,British Indian Ocean Territory (the),Asia and the Pacific,South Asia
IRL,IRL,Ireland,Europe and Central Asia,Central and Western Europe
IRN,IRN,Iran (Islamic Republic of),Asia and the Pacific,South Asia
IRQ,IRQ,Iraq,Asia and the Pacific,Western Asia
ISL,ISL,Iceland,Europe and Central Asia,Central and Western Europe
ISR,ISR,Israel,Europe and Central Asia,Central and Western Europe
ITA,ITA,Italy,Europe and Central Asia,Central and Western Europe
JAM,JAM,Jamaica,Americas,Caribbean
JEY,JEY,Jersey,Europe and Central Asia,Central and Western Europe
JOR,JOR,Jordan,Asia and the Pacific,Western Asia
JPN,JPN,Japan,Asia and the Pacific,North-East Asia
KAZ,KAZ,Kazakhstan,Europe and Central Asia,Central Asia
KEN,KEN,Kenya,Africa,East Africa and adjacent islands
KGZ,KGZ,Kyrgyzstan,Europe and Central Asia,Central Asia
KHM,KHM,Cambodia,Asia and the Pacific,South-East Asia
KIR,KIR,Kiribati,Asia and the Pacific,Oceania
KNA,KNA,Saint Kitts and Nevis,Americas,Caribbean
KOR,KOR,Korea (the Republic of),Asia and the Pacific,North-East Asia
KWT,KWT,Kuwait,Asia and the Pacific,Western Asia
LAO,LAO,Lao People's Democratic Republic (the),Asia and the Pacific,South-East Asia
LBN,LBN,Lebanon,Asia and the Pacific,Western Asia
LBR,LBR,Liberia,Africa,West Africa
LBY,LBY,Libya,Africa,North Africa
LCA,LCA,Saint Lucia,Americas,Caribbean
LIE,LIE,Liechtenstein,Europe and Central Asia,Central and Western Europe
LKA,LKA,Sri Lanka,Asia and the Pacific,South Asia
LSO,LSO,Lesotho,Africa,Southern Africa
LTU,LTU,Lithuania,Europe and Central Asia,Central and Western Europe
LUX,LUX,Luxembourg,Europe and Central Asia,Central and Western Europe
LVA,LVA,Latvia,Europe and Central Asia,Central and Western Europe
MAC,MAC,Macao (Special Adminstrative Region China,Asia and the Pacific,North-East Asia
MAF,MAF,Saint Martin (French part),Americas,Caribbean
MAR,MAR,Morocco,Africa,North Africa
MCO,MCO,Monaco,Europe and Central Asia,Central and Western Europe
MDA,MDA,Moldova (the Republic of),Europe and Central Asia,Eastern Europe
MDG,MDG,Madagascar,Africa,East Africa and adjacent islands
MDV,MDV,Maldives,Asia and the Pacific,South Asia
MEX,MEX,Mexico,Americas,Mesoamerica
MHL,MHL,Marshall Islands (the),Asia and the Pacific,Oceania
MKD,MKD,North Macedonia,Europe and Central Asia,Central and Western Europe
MLI,MLI,Mali,Africa,West Africa
MLT,MLT,Malta,Europe and Central Asia,Central and Western Europe
MMR,MMR,Myanmar,Asia and the Pacific,South-East Asia
MNE,MNE,Montenegro,Europe and Central Asia,Central and Western Europe
MNG,MNG,Mongolia,Asia and the Pacific,North-East Asia
MNP,MNP,Northern Mariana Islands (the),Asia and the Pacific,Oceania
MOZ,MOZ,Mozambique,Africa,Southern Africa
MRT,MRT,Mauritania,Africa,North Africa
MSR,MSR,Montserrat,Americas,Caribbean
MTQ,MTQ,Martinique,Americas,Caribbean
MUS,MUS,Mauritius,Africa,East Africa and adjacent islands
MWI,MWI,Malawi,Africa,Southern Africa
MYS,MYS,Malaysia,Asia and the Pacific,South-East Asia
MYT,MYT,Mayotte,Africa,East Africa and adjacent islands
NAM,NAM,Namibia,Africa,Southern Africa
NCL,NCL,New Caledonia,Asia and the Pacific,Oceania
NER,NER,Niger (the),Africa,West Africa
NFK,NFK,Norfolk Island,Asia and the Pacific,Oceania
NGA,NGA,Nigeria,Africa,West Africa
NIC,NIC,Nicaragua,Americas,Mesoamerica
NIU,NIU,Niue,Asia and the Pacific,Oceania
NLD,NLD,Netherlands (the),Europe and Central Asia,Central and Western Europe
NOR,NOR,Norway,Europe and Central Asia,Central and Western Europe
NPL,NPL,Nepal,Asia and the Pacific,South Asia
NRU,NRU,Nauru,Asia and the Pacific,Oceania
NZL,NZL,New Zealand,Asia and the Pacific,Oceania
OMN,OMN,Oman,Asia and the Pacific,Western Asia
PAK,PAK,Pakistan,Asia and the Pacific,South Asia
PAN,PAN,Panama,Americas,Mesoamerica
PCN,PCN,Pitcairn,Asia and the Pacific,Oceania
PER,PER,Peru,Americas,South America
PHL,PHL,Philippines (the),Asia and the Pacific,South-East Asia
PLW,PLW,Palau,Asia and the Pacific,Oceania
PNG,PNG,Papua New Guinea,Asia and the Pacific,Oceania
POL,POL,Poland,Europe and Central Asia,Central and Western Europe
PRI,PRI,Puerto Rico,Americas,Caribbean
PRK,PRK,Korea (the Democratic People's Republic of),Asia and the Pacific,North-East Asia
PRT,PRT,Portugal,Europe and Central Asia,Central and Western Europe
PRY,PRY,Paraguay,Americas,South America
PSE,PSE,"Palestine, State of",Asia and the Pacific,Western Asia
PYF,PYF,French Polynesia,Asia and the Pacific,Oceania
QAT,QAT,Qatar,Asia and the Pacific,Western Asia
REU,REU,Réunion,Africa,East Africa and adjacent islands
ROU,ROU,Romania,Europe and Central Asia,Central and Western Europe
RUS,RUS,Russian Federation (the),Europe and Central Asia,Eastern Europe
RWA,RWA,Rwanda,Africa,East Africa and adjacent islands
SAU,SAU,Saudi Arabia,Asia and the Pacific,Western Asia
SDN,SDN,Sudan (the),Africa,North Africa
SEN,SEN,Senegal,Africa,West Africa
SGP,SGP,Singapore,Asia and the Pacific,South-East Asia
SGS,SGS,South Georgia and the South Sandwich Islands,Americas,South America
SHN,SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa,Southern Africa
SJM,SJM,Svalbard and Jan Mayen,Europe and Central Asia,Central and Western Europe
SLB,SLB,Solomon Islands,Asia and the Pacific,Oceania
SLE,SLE,Sierra Leone,Africa,West Africa
SLV,SLV,El Salvador,Americas,Mesoamerica
SMR,SMR,San Marino,Europe and Central Asia,Central and Western Europe
SOM,SOM,Somalia,Africa,East Africa and adjacent islands
SPM,SPM,Saint Pierre and Miquelon,Americas,North America
SRB,SRB,Serbia,Europe and Central Asia,Central and Western Europe
SSD,SSD,South Sudan,Africa,East Africa and adjacent islands
STP,STP,Sao Tome and Principe,Africa,Central Africa
SUR,SUR,Suriname,Americas,South America
SVK,SVK,Slovakia,Europe and Central Asia,Central and Western Europe
SVN,SVN,Slovenia,Europe and Central Asia,Central and Western Europe
SWE,SWE,Sweden,Europe and Central Asia,Central and Western Europe
SWZ,SWZ,Eswatini,Africa,Southern Africa
SXM,SXM,Sint Maarten (Dutch part),Americas,Caribbean
SYC,SYC,Seychelles,Africa,East Africa and adjacent islands
SYR,SYR,Syrian Arab Republic (the),Asia and the Pacific,Western Asia
TCA,TCA,Turks and Caicos Islands (the),Americas,Caribbean
TCD,TCD,Chad,Africa,Central Africa
TGO,TGO,Togo,Africa,West Africa
THA,THA,Thailand,Asia and the Pacific,South-East Asia
TJK,TJK,Tajikistan,Europe and Central Asia,Central Asia
TKL,TKL,Tokelau,Asia and the Pacific,Oceania
TKM,TKM,Turkmenistan,Europe and Central Asia,Central Asia
TLS,TLS,Timor-Leste,Asia and the Pacific,South-East Asia
TON,TON,Tonga,Asia and the Pacific,Oceania
TTO,TTO,Trinidad and Tobago,Americas,Caribbean
TUN,TUN,Tunisia,Africa,North Africa
TUR,TUR,Turkey,Europe and Central Asia,Central and Western Europe
TUV,TUV,Tuvalu,Asia and the Pacific,Oceania
TWN,TWN,Taiwan (Province of China),Asia and the Pacific,North-East Asia
TZA,TZA,"Tanzania, the United Republic of",Africa,East Africa and adjacent islands
UGA,UGA,Uganda,Africa,East Africa and adjacent islands
UKR,UKR,Ukraine,Europe and Central Asia,Eastern Europe
URY,URY,Uruguay,Americas,South America
UZB,UZB,Uzbekistan,Europe and Central Asia,Central Asia
VAT,VAT,Holy See (the),Europe and Central Asia,Central and Western Europe
VCT,VCT,Saint Vincent and the Grenadines,Americas,Caribbean
VEN,VEN,Venezuela (Bolivarian Republic of),Americas,South America
VGB,VGB,Virgin Islands (British),Americas,Caribbean
VIR,VIR,Virgin Islands (U.S.),Americas,Caribbean
VNM,VNM,Viet Nam,Asia and the Pacific,South-East Asia
VUT,VUT,Vanuatu,Asia and the Pacific,Oceania
WLF,WLF,Wallis and Futuna,Asia and the Pacific,Oceania
WSM,WSM,Samoa,Asia and the Pacific,Oceania
XAD,NA,Akrotiri and Dhekelia,Europe and Central Asia,Central and Western Europe
XCL,NA,Clipperton Island,Asia and the Pacific,Oceania
XKO,NA,Kosovo,Europe and Central Asia,Central and Western Europe
XNC,NA,Northern Cyprus,Europe and Central Asia,Central and Western Europe
XPI,NA,Paracel Islands,Asia and the Pacific,South-East Asia
XSP,NA,Spratly Islands,Asia and the Pacific,South-East Asia
YEM,YEM,Yemen,Asia and the Pacific,Western Asia
ZAF,ZAF,South Africa,Africa,Southern Africa
ZMB,ZMB,Zambia,Africa,Southern Africa
ZWE,ZWE,Zimbabwe,Africa,Southern Africa
USA,USA,United States of America (the),Americas,North America
UMI,UMI,United States Minor Outlying Islands (the),Asia and the Pacific,Oceania
NA,NA,United States Minor Outlying Islands (Navassa),Americas,Caribbean
NA,NA,Hawaii (USA),Asia and the Pacific,Oceania
