"","x"
"1","CA"
"2","US"
"3","CA"
"4","US"
"5","CA"
"6","IT"
"7","IT"
"8","IT"
"9","BE"
"10","CA"
"11","BE"
"12","NP"
"13","NP"
"14","NP"
"15","NP"
"16","NP"
"17","NP"
"18","NP"
"19","NP"
"20","CA"
"21","BD"
"22","BD"
"23","ES"
"24","ES"
"25","IN"
"26","ES"
"27","US"
"28","ES"
"29","US"
"30","ES"
"31","ES"
"32","ES"
"33","CL"
"34","ES"
"35","ES"
"36","CA"
"37","ES"
"38","ES"
"39","ES"
"40","US"
"41","US"
"42","US"
"43","US"
"44","DE"
"45","DE"
"46","BF"
"47","DE"
"48","BF"
"49","ZA"
"50","ZA"
"51","ZA"
"52","MX"
"53","MX"
"54","MX"
"55","MX"
"56","AR"
"57","AR"
"58","AR"
"59",NA
"60","BR"
"61","BR"
"62","IN"
"63","IN"
"64","IN"
"65","IN"
"66","IN"
"67","IN"
"68","IN"
"69","JP"
"70","JP"
"71",NA
"72","JP"
"73","ZA"
"74","ZA"
"75","ZA"
"76","ZA"
"77","ZA"
"78","ZA"
"79","ZA"
"80",NA
"81","AU"
"82","AU"
"83",NA
"84","GB"
"85","GB"
"86","ET"
"87","ET"
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93","NL"
"94","BJ"
"95","NL"
"96","NL"
"97","TZ"
"98","NL"
"99","KE"
"100","KE"
"101","KE"
"102","AT"
"103","GR"
"104","GR"
"105","AT"
"106","CA"
"107","CA"
"108","CA"
"109",NA
"110",NA
"111",NA
"112",NA
"113","AU"
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120","MX"
"121","MX"
"122","MX"
"123","MX"
"124","MX"
"125","MX"
"126","ES"
"127","MX"
"128","MX"
"129","MX"
"130","MX"
"131","MX"
"132","MX"
"133","MX"
"134","MX"
"135","MX"
"136","AU"
"137","AU"
"138","AU"
"139","AU"
"140","CA"
"141","CN"
"142","CA"
"143","BE"
"144","NP"
"145","CA"
"146","CA"
"147","CA"
"148","CN"
"149","DK"
"150","CN"
"151","CN"
"152","DK"
"153","DK"
"154","DK"
"155","DK"
"156","TH"
"157","DK"
"158","IT"
"159","IT"
"160","IT"
"161","IT"
"162","AU"
"163","NP"
"164","CA"
"165","CA"
"166","DE"
"167","DE"
"168","BR"
"169","BR"
"170",NA
"171","NZ"
"172","NZ"
"173","NZ"
"174","NZ"
"175","LK"
"176","TH"
"177","LK"
"178","MG"
"179","MG"
"180","MG"
"181","MG"
"182",NA
"183","MG"
"184","MG"
"185",NA
"186",NA
"187","US"
"188","MX"
"189","MX"
"190","MX"
"191","MX"
"192","ZA"
"193","NC"
"194","NC"
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201","LK"
"202","LK"
"203","LK"
"204","FR"
"205","US"
"206","AU"
"207",NA
"208","PH"
"209","HU"
"210","MA"
"211","AU"
"212","SE"
"213","FJ"
"214","CI"
"215","CA"
"216","GB"
"217","BR"
"218",NA
"219","AR"
"220",NA
"221","AU"
"222","US"
"223","JP"
"224","KE"
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236",NA
"237",NA
"238","BR"
"239",NA
"240","CA"
"241","CA"
"242","CA"
"243","CA"
"244","US"
"245","US"
"246","US"
"247","US"
"248","US"
"249","US"
"250",NA
"251","AU"
"252","FR"
"253","US"
"254","US"
"255","FR"
"256","US"
"257","US"
"258","US"
"259","FJ"
"260","US"
"261","US"
"262","US"
"263",NA
"264",NA
"265","VU"
"266","US"
"267","US"
"268",NA
"269","US"
"270","FJ"
"271","CN"
"272","CN"
"273","CN"
"274","CN"
"275","CN"
"276","CN"
"277","NP"
"278","CN"
"279",NA
"280",NA
"281","CA"
"282","CA"
"283","CA"
"284","CA"
"285","CA"
"286","US"
"287",NA
"288","CA"
"289","US"
"290","US"
"291","BR"
"292","US"
"293","US"
"294","US"
"295","US"
"296","ZW"
"297","ZW"
"298","GB"
"299","BE"
"300","DE"
"301","GB"
"302","DE"
"303",NA
"304","IN"
"305","IN"
"306","IN"
"307","IN"
"308","IN"
"309","IN"
"310","IN"
"311","MX"
"312","MX"
"313","MX"
"314","MX"
"315","MX"
"316","AU"
"317","AU"
"318","AU"
"319","AU"
"320","AU"
"321","AU"
"322","BR"
"323","BR"
"324","BR"
"325","AU"
"326","BR"
"327","BR"
"328","BR"
"329","US"
"330","US"
"331","US"
"332","BR"
"333","BR"
"334","BR"
"335","TZ"
"336","BR"
"337","BR"
"338","BR"
"339","BR"
"340","BR"
"341","ZW"
"342","ZW"
"343","ZW"
"344","ZW"
"345",NA
"346","ZW"
"347","US"
"348","US"
"349","US"
"350","BO"
"351","BO"
"352","BO"
"353","US"
"354","BO"
"355","US"
"356",NA
"357",NA
"358","BO"
"359","BO"
"360","BO"
"361","US"
"362","BO"
"363","US"
"364","US"
"365","US"
"366",NA
"367","BR"
"368","BR"
"369","BR"
"370","BR"
"371","BR"
"372","BR"
"373","BR"
"374","IT"
"375","AR"
"376","BR"
"377","BR"
"378","BR"
"379","NO"
"380","PE"
"381","PE"
"382","DK"
"383","PE"
"384","DE"
"385","DE"
"386","AU"
"387","AU"
"388","AU"
"389","NP"
"390",NA
"391","FR"
"392","BR"
"393","BR"
"394","BR"
"395","BR"
"396","IN"
"397","IN"
"398","IN"
"399","IN"
"400","CA"
"401","IN"
"402","IN"
"403","CA"
"404","CA"
"405","GB"
"406","GB"
"407","GB"
"408","GB"
"409","GB"
"410","GB"
"411","GB"
"412","US"
"413","IN"
"414","IN"
"415",NA
"416",NA
"417",NA
"418","US"
"419","US"
"420","US"
"421","US"
"422","SE"
"423","SE"
"424","EC"
"425","EC"
"426","EC"
"427","EC"
"428","CA"
"429","CA"
"430","CA"
"431","CA"
"432","CA"
"433","AU"
"434","JP"
"435",NA
"436","BR"
"437","BR"
"438","BR"
"439","BR"
"440","BR"
"441","BR"
"442","BR"
"443","BR"
"444","AU"
"445","AU"
"446","AU"
"447","US"
"448","US"
"449","BJ"
"450","US"
"451",NA
"452",NA
"453",NA
"454",NA
"455",NA
"456",NA
"457","US"
"458",NA
"459",NA
"460","US"
"461","US"
"462","CR"
"463","BR"
"464","BR"
"465","BR"
"466","US"
"467","ES"
"468","ZA"
"469",NA
"470",NA
"471","US"
"472","BE"
"473","ET"
"474","US"
"475","ZA"
"476","US"
"477","TZ"
"478",NA
"479","KE"
"480",NA
"481","ZA"
"482",NA
"483","US"
"484","US"
"485","US"
"486","US"
"487","US"
"488","MW"
"489","MW"
"490","MW"
"491","MW"
"492","ZW"
"493","ZW"
"494","ZA"
"495","ZW"
"496","DE"
"497","NL"
"498","US"
"499","SE"
"500","ES"
"501","ES"
"502","ES"
"503","DE"
"504","DE"
"505","SE"
"506","ES"
"507","US"
"508","DE"
"509","DE"
"510","IN"
"511","IN"
"512","DE"
"513","IN"
"514","DE"
"515","ZW"
"516","DK"
"517","DE"
"518","TZ"
"519","NA"
"520","NA"
"521","NA"
"522","NA"
"523","NA"
"524","US"
"525","US"
"526","US"
"527","US"
"528","GB"
